	estimate	upper	lower	
ethird_trd0pct0	  .1133914	 .23529137	-.00850856	
ethird_trd0pct1	 .08359789	 .32819645	-.16100068	
ethird_trd0pct2	 .01865904	 .38855621	-.35123813	
ethird_trd0pct3	-.29033692	 .19163315	-.77230699	
ethird_trd0pct4	-.21629594	 .21314368	-.64573556	
ethird_trd0pct5	-.20656255	 .11098569	-.52411079	
ethird_trd0pct6	-.42015222	-.14372185	-.69658259	
ethird_trd0pct7	-.43381541	-.13419252	 -.7334383	
ethird_trd0pct8	-.47544982	 -.1293875	-.82151214	
ethird_trd3pct0	-3.4479965	-2.7034758	-4.1925172	
ethird_trd3pct1	-3.5356686	-2.3577107	-4.7136266	
ethird_trd3pct2	-2.9696206	-1.0941148	-4.8451264	
ethird_trd3pct3	-1.7090709	 .60297909	-4.0211209	
ethird_trd3pct4	-3.6380507	-1.5662813	-5.7098202	
ethird_trd3pct5	-3.8425103	-1.6231302	-6.0618903	
ethird_trd3pct6	 -7.550156	 -5.436764	 -9.663548	
ethird_trd3pct7	-2.9350299	-1.1152353	-4.7548245	
ethird_trd3pct8	-2.2891427	-.18884563	-4.3894397	
