	estimate	upper	lower	
ethird_trd0pct0	 .02004295	 .07683364	-.03674774	
ethird_trd0pct1	  .0835378	 .20216756	-.03509197	
ethird_trd0pct2	 .04901224	 .16131948	-.06329501	
ethird_trd0pct3	 .01195041	 .12998862	-.10608779	
ethird_trd0pct4	 .05685828	 .19919381	-.08547724	
ethird_trd0pct5	 .07960795	 .23609445	-.07687855	
ethird_trd0pct6	 .05889785	  .2374917	  -.119696	
ethird_trd0pct7	 .00425986	 .16935983	 -.1608401	
ethird_trd0pct8	-.03863813	 .13024588	-.20752215	
ethird_trd3pct0	-1.5045577	-.13875845	 -2.870357	
ethird_trd3pct1	-.73312571	 .71990212	-2.1861536	
ethird_trd3pct2	-1.9315272	 -.1407552	-3.7222991	
ethird_trd3pct3	-2.2560953	-.23912708	-4.2730635	
ethird_trd3pct4	-1.8334773	 .10572408	-3.7726786	
ethird_trd3pct5	-1.5209071	 .28399381	 -3.325808	
ethird_trd3pct6	-1.7761287	 .22473743	-3.7769948	
ethird_trd3pct7	-2.0964731	-.37838146	-3.8145647	
ethird_trd3pct8	-2.0500948	-.23876644	-3.8614232	
