	estimate	upper	lower	
ethird_trd0pct0	 -.0164076	 .01080293	-.04361814	
ethird_trd0pct1	-.01145222	 .04527208	-.06817652	
ethird_trd0pct2	-.00634179	 .06216155	-.07484513	
ethird_trd0pct3	-.07071272	-.02549891	-.11592652	
ethird_trd0pct4	-.07324816	-.01354403	-.13295228	
ethird_trd0pct5	-.09047431	-.04183139	-.13911723	
ethird_trd0pct6	-.11363154	-.05721182	-.17005126	
ethird_trd0pct7	-.09356175	 -.0395731	 -.1475504	
ethird_trd0pct8	-.09322318	 -.0382256	-.14822076	
ethird_trd3pct0	-.25682178	 .04045244	-.55409601	
ethird_trd3pct1	-.09546186	 .27708635	-.46801007	
ethird_trd3pct2	-.00834983	 .29483439	-.31153404	
ethird_trd3pct3	-.02987388	 .26927951	-.32902728	
ethird_trd3pct4	 .09569616	 .68625194	-.49485962	
ethird_trd3pct5	 .83524066	  1.373803	 .29667837	
ethird_trd3pct6	  1.085609	 1.5722072	  .5990109	
ethird_trd3pct7	 1.2415722	 2.0570591	 .42608522	
ethird_trd3pct8	 1.8377719	 2.8258997	 .84964417	
