	estimate	upper	lower	
ethird_trd0pct0	-.00068217	 .00440862	-.00577296	
ethird_trd0pct1	-.00340669	 .00893131	-.01574469	
ethird_trd0pct2	 .00110605	 .01070338	-.00849129	
ethird_trd0pct3	-.00518951	  .0082235	-.01860252	
ethird_trd0pct4	 -.0122932	 .01119142	-.03577783	
ethird_trd0pct5	 -.0077618	 .01594852	-.03147212	
ethird_trd0pct6	-.00793428	 .01858069	-.03444926	
ethird_trd0pct7	-.00510643	 .01664856	-.02686142	
ethird_trd0pct8	  .0010259	 .01748479	-.01543299	
ethird_trd3pct0	 .01936972	 .05508802	-.01634858	
ethird_trd3pct1	 .06662392	 .15080384	-.01755599	
ethird_trd3pct2	 .05648724	 .15258044	-.03960596	
ethird_trd3pct3	 .08535236	 .18518885	-.01448412	
ethird_trd3pct4	 .14795126	 .26074364	 .03515887	
ethird_trd3pct5	  .2537517	 .35661437	 .15088904	
ethird_trd3pct6	  .3298806	 .46666938	 .19309183	
ethird_trd3pct7	 .20009284	 .31905727	 .08112842	
ethird_trd3pct8	 .13925842	 .24471003	 .03380682	
