	estimate	upper	lower	
esite0	 .09891157	 .14760951	 .05021363	
esite1	 .08493531	 .10581319	 .06405743	
esite2	 .04325925	 .06651512	 .02000338	
esite3	 .05874806	  .1046774	 .01281872	
esite4	 .06262205	 .07433122	 .05091288	
esite5	-.00899277	 .00294882	-.02093436	
esite6	 -.0193468	-.00982678	-.02886683	
esite7	 -.0207318	 -.0021953	 -.0392683	
esite8	-.01980631	-.00221216	-.03740047	
esite9	-.02538911	-.00691133	 -.0438669	
esite10	-.02659858	-.00342298	-.04977418	
esite11	-.01900504	 .00624712	 -.0442572	
esite12	-.02078239	 .00677232	 -.0483371	
esite13	-.02247652	 .00267923	-.04763227	
esite14	-.02191568	   .006024	-.04985537	
esite15	-.00734076	 .02370829	-.03838982	
esite16	-.02501786	 .00296926	-.05300498	
ebelligerent0	-.00537749	 .00499163	 -.0157466	
ebelligerent1	 .02097269	  .0665021	-.02455671	
ebelligerent2	 .00377224	 .02084243	-.01329794	
ebelligerent3	 .00612994	 .01691324	-.00465337	
ebelligerent4	 .00762907	 .01586174	-.00060359	
ebelligerent5	-.00043193	 .01141051	-.01227436	
ebelligerent6	-.00154457	 .01088264	-.01397178	
ebelligerent7	 .00712454	 .02196482	-.00771573	
ebelligerent8	 .00601022	 .01685068	-.00483024	
ebelligerent9	 .00952689	 .01964261	-.00058883	
ebelligerent10	 .00574142	 .01876291	-.00728007	
ebelligerent11	 .00586877	  .0150853	-.00334776	
ebelligerent12	 .01378908	 .02834146	 -.0007633	
ebelligerent13	 .00171213	 .01609949	-.01267523	
ebelligerent14	 .00450598	 .01760396	-.00859199	
ebelligerent15	 .00698299	 .02037301	-.00640704	
ebelligerent16	 .00971973	 .02364704	-.00420757	
ethird0	-.00037717	 .00482184	-.00557618	
ethird1	 .00596999	 .01418871	-.00224873	
ethird2	-.00606797	 .00393489	-.01607083	
ethird3	-.00089226	 .00907743	-.01086195	
ethird4	 .02969866	 .06180415	-.00240682	
ethird5	 .00247394	 .01251136	-.00756348	
ethird6	-.00090464	  .0086195	-.01042879	
ethird7	-.00748371	 .00130061	-.01626802	
ethird8	-.00551592	 .00307384	-.01410567	
ethird9	-.01231847	-.00462025	-.02001669	
ethird10	-.00739311	 .00119066	-.01597687	
ethird11	-.01478904	-.00772666	-.02185142	
ethird12	-.01380341	-.00801149	-.01959534	
ethird13	-.01368707	-.00353299	-.02384114	
ethird14	-.01057204	-.00270711	-.01843697	
ethird15	-.00908152	-.00086546	-.01729757	
ethird16	-.01488019	-.00807162	-.02168875	
