	estimate	upper	lower	
esite0	-1.9678763	-.18776481	-3.7479878	
esite1	-6.2830466	 .17347337	-12.739567	
esite2	-6.0119696	 .48593045	 -12.50987	
esite3	 -8.109727	-3.0869849	-13.132469	
esite4	-8.1023633	-3.1849271	-13.019799	
esite5	-6.0251837	-1.2987122	-10.751655	
esite6	 1.0926442	 7.8272868	-5.6419985	
esite7	 -.5574351	 6.6418071	-7.7566773	
esite8	 -.8083213	 6.5957642	-8.2124067	
esite9	-.98282801	 6.5957342	-8.5613902	
esite10	-1.9627208	 6.8060718	-10.731513	
esite11	-.48276855	 8.7306775	-9.6962146	
esite12	-.65227649	 8.9081435	-10.212697	
esite13	-1.3267341	 7.8528121	 -10.50628	
esite14	-1.4780724	 7.6789102	-10.635055	
esite15	-2.3603116	 6.8197041	-11.540327	
esite16	-2.4914218	 6.7018808	-11.684724	
ebelligerent0	-.18528433	 .59232661	-.96289528	
ebelligerent1	 -.8664812	 .37285197	-2.1058144	
ebelligerent2	-2.1616435	-.17223527	-4.1510518	
ebelligerent3	-2.1217747	-.31548488	-3.9280644	
ebelligerent4	-.98842066	   .849239	-2.8260803	
ebelligerent5	  .6354956	 3.2457443	-1.9747531	
ebelligerent6	 1.7262684	  4.262096	-.80955927	
ebelligerent7	 2.8709515	 5.5399783	 .20192481	
ebelligerent8	  1.937596	 4.4746133	-.59942132	
ebelligerent9	 1.5360489	 3.8356617	-.76356386	
ebelligerent10	 1.7196822	 4.0222244	-.58286014	
ebelligerent11	 1.6242478	 3.9668287	-.71833302	
ebelligerent12	  1.071212	 4.0401872	-1.8977633	
ebelligerent13	 .63733116	 4.1226255	-2.8479632	
ebelligerent14	 .24679002	  3.948665	-3.4550849	
ebelligerent15	-.17086929	 3.6663172	-4.0080558	
ebelligerent16	-1.0997395	 2.8940551	-5.0935342	
ethird0	-.05983838	 .46755514	-.58723191	
ethird1	 .09849939	 1.3012771	-1.1042783	
ethird2	 -.2275298	 1.0750167	-1.5300763	
ethird3	-.54907217	 .73461714	-1.8327615	
ethird4	-.56655667	 .91249055	-2.0456039	
ethird5	-.28974152	 1.6973316	-2.2768147	
ethird6	-.87117928	 1.8294515	  -3.57181	
ethird7	-2.1905664	 .25045158	-4.6315844	
ethird8	-3.6928889	-1.2726661	-6.1131118	
ethird9	-3.8389023	-1.1740968	-6.5037077	
ethird10	-3.9061034	-.95974806	-6.8524588	
ethird11	-4.0776843	-.81837298	-7.3369956	
ethird12	-4.2232636	-.86028926	-7.5862379	
ethird13	-4.5870077	-1.3372655	-7.8367499	
ethird14	-5.4152839	-2.1812589	 -8.649309	
ethird15	-6.0002499	-2.4611837	 -9.539316	
ethird16	 -5.843205	-2.2057053	-9.4807047	
