	estimate	upper	lower	
esite0	-.87606463	-.16515476	-1.5869745	
esite1	-1.6087531	-.27467409	-2.9428321	
esite2	-1.7027153	-.25044489	-3.1549857	
esite3	-1.7389394	-.15556415	-3.3223147	
esite4	-1.7890933	 .03134092	-3.6095276	
esite5	-1.0534288	 .13164793	-2.2385056	
esite6	-.89968825	 .14640877	-1.9457853	
esite7	-.78345323	  .1716759	-1.7385824	
esite8	-.86885514	-.03054441	-1.7071659	
esite9	-.70471697	 .09011411	 -1.499548	
esite10	-.53180221	 .29474878	-1.3583532	
esite11	-.49834633	 .38193541	-1.3786281	
esite12	-.48940224	 .45709553	   -1.4359	
esite13	-.59252644	 .33465579	-1.5197087	
esite14	-.49839409	 .48661104	-1.4833992	
esite15	-.48501304	 .52749208	-1.4975182	
esite16	-.44995383	 .57409218	-1.4739998	
ebelligerent0	 .05755607	 .10360707	 .01150508	
ebelligerent1	 .01155079	 .11909141	-.09598983	
ebelligerent2	-.01778521	 .15965689	-.19522732	
ebelligerent3	-.02290312	 .15750728	-.20331353	
ebelligerent4	-.09669502	 .09730397	  -.290694	
ebelligerent5	 .04898441	 .22749878	-.12952995	
ebelligerent6	 .11681959	 .28961175	-.05597257	
ebelligerent7	 .08588881	 .27871009	-.10693247	
ebelligerent8	 .12674106	 .28664441	-.03316229	
ebelligerent9	 .06150537	 .21723689	-.09422615	
ebelligerent10	   .088913	 .28210794	-.10428195	
ebelligerent11	 .08218721	 .27428982	-.10991539	
ebelligerent12	 .07884727	 .28288241	-.12518787	
ebelligerent13	 .06277367	 .28766215	-.16211481	
ebelligerent14	 .03303876	 .25950898	-.19343145	
ebelligerent15	-.00048135	 .22811732	-.22908003	
ebelligerent16	-.06616403	 .17034115	 -.3026692	
ethird0	 .08689856	 .23180364	-.05800652	
ethird1	 .06941012	 .34792663	-.20910639	
ethird2	 .00119564	 .30593962	-.30354835	
ethird3	-.05924067	 .21061974	-.32910109	
ethird4	-.08111283	 .22271847	-.38494413	
ethird5	-.09409712	 .26962016	 -.4578144	
ethird6	-.23912388	 .14838219	-.62662995	
ethird7	-.32469399	 .05555248	-.70494046	
ethird8	-.43748094	-.04263759	-.83232429	
ethird9	-.47136979	-.06212251	-.88061707	
ethird10	-.55551463	-.11233165	-.99869761	
ethird11	-.60447917	-.14449538	 -1.064463	
ethird12	-.66321906	-.19043613	 -1.136002	
ethird13	-.76340508	-.29582379	-1.2309864	
ethird14	-.86693076	-.41715664	-1.3167049	
ethird15	-.87715861	-.42884762	-1.3254696	
ethird16	 -.8736082	-.39188979	-1.3553266	
