	estimate	upper	lower	
esite0	-1.6526231	 -.7956637	-2.5095826	
esite1	 -4.015959	-2.0860183	-5.9458998	
esite2	-4.0175738	-1.8514717	-6.1836759	
esite3	-4.1466469	-1.9944746	-6.2988192	
esite4	-4.4952153	-2.3757397	-6.6146908	
esite5	-3.8089472	-1.8491393	-5.7687551	
esite6	  .0149972	  1.104051	-1.0740566	
esite7	 .34844575	  1.574184	-.87729247	
esite8	 .86636142	 2.1588737	 -.4261509	
ebelligerent0	  .0269143	  .2252873	 -.1714587	
ebelligerent1	 .04381771	 .29920897	-.21157354	
ebelligerent2	-.48909525	-.08239558	-.89579492	
ebelligerent3	-.47154213	-.12493972	-.81814455	
ebelligerent4	 -.0921332	 .32948279	-.51374918	
ebelligerent5	 -.1826864	 .50351211	-.86888491	
ebelligerent6	 .01510325	   .604584	-.57437749	
ebelligerent7	 .68350106	 1.0780466	 .28895554	
ebelligerent8	 .53473382	 .91725842	 .15220921	
ethird0	-.02801981	  .1655241	-.22156373	
ethird1	 .31557086	 1.0713253	-.44018362	
ethird2	 .31910444	 1.1403146	-.50210571	
ethird3	 .15670425	 .87219424	-.55878574	
ethird4	-.03743404	 .63244793	-.70731602	
ethird5	-.05996036	 .73355984	-.85348057	
ethird6	-.05256619	 .84650566	-.95163804	
ethird7	-.00429402	 .93931916	-.94790721	
ethird8	-.08504076	 .79385239	 -.9639339	
