	estimate	upper	lower	
esite0	-2.4015655	-1.7978836	-3.0052474	
esite1	-3.0549212	-2.1575654	-3.9522769	
esite2	-3.0851376	-2.0333619	-4.1369133	
esite3	-3.0920607	-1.9569604	-4.2271609	
esite4	-2.3181141	-1.0305181	-3.6057101	
esite5	-1.0960705	 .07705448	-2.2691954	
esite6	-.32394573	 .92943529	-1.5773268	
esite7	-.35768098	 .88883356	-1.6041955	
esite8	-.20512468	 1.2473698	-1.6576192	
ebelligerent0	-.17057622	 .04104552	-.38219795	
ebelligerent1	-.29025845	 .00431077	-.58482767	
ebelligerent2	-.46274107	 .00439655	-.92987868	
ebelligerent3	-.68819342	-.15929178	-1.2170951	
ebelligerent4	-.62792758	 -.0441866	-1.2116686	
ebelligerent5	-.18800729	 .46269077	-.83870536	
ebelligerent6	-.05713093	  .6528311	-.76709296	
ebelligerent7	-.02880705	 .81346987	-.87108397	
ebelligerent8	-.15040315	 .59183165	-.89263795	
ethird0	 .09069569	 .39851375	-.21712237	
ethird1	 .19226898	 .79197451	-.40743655	
ethird2	 .12774667	 .72858648	-.47309313	
ethird3	-.04597635	 .49158788	-.58354059	
ethird4	-.05743136	 .51813071	-.63299343	
ethird5	-.07663227	 .54084209	-.69410664	
ethird6	-.08211756	 .54838097	 -.7126161	
ethird7	-.32822218	 .26997065	  -.926415	
ethird8	-.48395109	 .14894602	-1.1168482	
