	estimate	upper	lower	
esite0	-1.1864025	-.54637705	-1.8264279	
esite1	-2.8386954	-1.1865005	-4.4908902	
esite2	-2.3394543	 -.8171032	-3.8618054	
esite3	-2.0956726	-.59437031	-3.5969748	
esite4	-2.8461258	 -1.493569	-4.1986826	
esite5	-3.5881985	-1.8641633	-5.3122337	
esite6	  -.694542	 1.1535487	-2.5426327	
esite7	-1.2926547	 .92762577	-3.5129351	
esite8	-.96568375	 1.2036187	-3.1349862	
ebelligerent0	 .28685121	 .50596991	  .0677325	
ebelligerent1	 .82159424	 1.3584819	 .28470657	
ebelligerent2	 1.4029376	 2.0588145	 .74706064	
ebelligerent3	 1.9785878	 3.0620373	  .8951384	
ebelligerent4	 2.1499899	 3.2242648	 1.0757151	
ebelligerent5	 .79193449	 1.8235031	-.23963411	
ebelligerent6	 .63612663	 1.5362621	-.26400882	
ebelligerent7	 .42044015	 1.3944833	-.55360299	
ebelligerent8	 .33521215	 1.3939737	-.72354938	
ethird0	 .21578848	 .33502885	 .09654811	
ethird1	 .71430776	 1.1611629	 .26745267	
ethird2	 1.7493392	 2.2515669	 1.2471114	
ethird3	 2.1627496	 2.9843008	 1.3411984	
ethird4	 1.9178232	  2.891291	 .94435543	
ethird5	 .85818955	 1.8261053	-.10972625	
ethird6	  .6147658	 1.4389891	-.20945752	
ethird7	-.09407539	 .85538158	-1.0435324	
ethird8	-.06310634	 1.1703218	-1.2965344	
