	estimate	upper	lower	
esite0	 -1.795333	-.23310501	-3.3575611	
esite1	-4.9053003	 .40761938	 -10.21822	
esite2	-5.1790419	-1.4040871	-8.9539967	
esite3	-7.8620152	 -4.196226	-11.527804	
esite4	-9.0408984	-4.4875339	-13.594263	
esite5	-9.0463982	-3.5843507	-14.508446	
esite6	-4.7648982	 1.6861698	-11.215966	
esite7	-10.008476	-.05073289	-19.966219	
esite8	-10.349417	 .00234759	-20.701181	
ebelligerent0	-.17123001	  .3505928	-.69305281	
ebelligerent1	-.13806474	  .7677022	-1.0438317	
ebelligerent2	-.29604719	 1.9444657	-2.5365601	
ebelligerent3	 -.1436389	 1.9465884	-2.2338662	
ebelligerent4	  .3328039	 2.2970223	-1.6314145	
ebelligerent5	 .38327553	 2.6231039	-1.8565528	
ebelligerent6	 1.2356664	 4.3347188	-1.8633859	
ebelligerent7	-1.1876728	 2.1487364	 -4.524082	
ebelligerent8	-2.3926253	 1.3844922	-6.1697428	
ethird0	-.01129623	 .37535114	 -.3979436	
ethird1	 .51618168	 1.5934105	-.56104713	
ethird2	  1.036057	 3.7453361	-1.6732221	
ethird3	   1.10042	 3.9282397	-1.7273996	
ethird4	 1.0399215	 3.4472722	-1.3674291	
ethird5	 .31938564	 3.8648873	 -3.226116	
ethird6	 -.1060032	 2.6888235	-2.9008299	
ethird7	 -4.126854	 .07595438	-8.3296623	
ethird8	-5.3124315	 .04416024	-10.669023	
