	estimate	upper	lower	
esite0	-.70566685	-.13206561	-1.2792681	
esite1	-1.2110316	-.17185243	-2.2502107	
esite2	-1.1791347	-.11969174	-2.2385778	
esite3	-1.1499861	 .01804428	-2.3180165	
esite4	-1.5519466	 .16639331	-3.2702865	
esite5	-1.2006003	 .23238851	-2.6335892	
esite6	-1.6057065	-.13781455	-3.0735984	
esite7	-1.6945945	-.15954655	-3.2296424	
esite8	-1.8392775	-.45477114	-3.2237838	
ebelligerent0	  .1443998	 .22145212	 .06734748	
ebelligerent1	  .4382606	 .67512782	 .20139337	
ebelligerent2	 .67571623	 1.0079768	 .34345561	
ebelligerent3	 .72235078	 1.1568928	 .28780873	
ebelligerent4	 .35007607	 .75595805	 -.0558059	
ebelligerent5	  .2855813	 .70653614	-.13537354	
ebelligerent6	 .06175737	 .36676911	-.24325436	
ebelligerent7	-.19637883	  .1150926	-.50785025	
ebelligerent8	-.28299229	 .07330849	-.63929307	
ethird0	 .09077146	 .15220094	 .02934199	
ethird1	 .33902004	 .53685161	 .14118848	
ethird2	 .53497505	 .86564033	 .20430976	
ethird3	 .59521439	 1.0051669	  .1852619	
ethird4	 .37222023	 .66120299	 .08323746	
ethird5	 .23658179	 .58417904	-.11101545	
ethird6	-.16123448	 .10466339	-.42713236	
ethird7	-.41188166	-.06722828	-.75653503	
ethird8	-.63399963	-.19710303	-1.0708962	
