	estimate	upper	lower	
ethird_trd0pct0	-.00190782	 .00494374	-.00875937	
ethird_trd0pct1	-.00009353	 .01678284	-.01696991	
ethird_trd0pct2	 .00741048	 .02838667	-.01356571	
ethird_trd0pct3	 .00809767	 .03278057	-.01658522	
ethird_trd0pct4	 .01271048	 .04132161	-.01590066	
ethird_trd0pct5	 .01044064	 .05439012	-.03350883	
ethird_trd0pct6	 .00208258	 .06010681	-.05594165	
ethird_trd0pct7	-.00194951	 .06362818	-.06752721	
ethird_trd0pct8	 .02171208	 .12353082	-.08010667	
ethird_trd0pct9	 .02947911	 .14507665	-.08611842	
ethird_trd0pct10	 .03316606	 .15716039	-.09082826	
ethird_trd0pct11	 .02390868	 .14871516	 -.1008978	
ethird_trd0pct12	  .0263703	 .15644504	-.10370444	
ethird_trd0pct13	 .03485886	 .16409384	-.09437613	
ethird_trd0pct14	 .04595761	 .16918837	-.07727315	
ethird_trd0pct15	 .06300363	 .18324625	-.05723898	
ethird_trd0pct16	 .07695196	 .18753155	-.03362764	
ethird_trd3pct0	  .0138524	 .05237471	-.02466992	
ethird_trd3pct1	-.05686332	 .01182438	-.12555102	
ethird_trd3pct2	-.05971496	 .01311669	-.13254662	
ethird_trd3pct3	-.00019427	 .12187018	-.12225873	
ethird_trd3pct4	-.13014444	 .08845439	-.34874327	
ethird_trd3pct5	-.18489275	 .11429868	-.48408418	
ethird_trd3pct6	-.24077833	 .07307919	-.55463585	
ethird_trd3pct7	-.22636345	 .10299048	-.55571739	
ethird_trd3pct8	-.31951515	 .09590666	-.73493697	
ethird_trd3pct9	-.42165591	 .07643414	-.91974596	
ethird_trd3pct10	-.46478153	 .07548452	-1.0050476	
ethird_trd3pct11	-.48792955	 .07841289	 -1.054272	
ethird_trd3pct12	-.52982105	 .07275348	-1.1323956	
ethird_trd3pct13	-.62721658	 .00026855	-1.2547017	
ethird_trd3pct14	-.71742473	-.03466349	 -1.400186	
ethird_trd3pct15	-.74938013	-.06007477	-1.4386855	
ethird_trd3pct16	-.88321731	-.13984349	-1.6265911	
