	estimate	upper	lower	
ethird_trd0pct0	  .0099331	 .01885728	 .00100892	
ethird_trd0pct1	 .02641439	 .04977915	 .00304962	
ethird_trd0pct2	  .0240794	 .04867377	-.00051497	
ethird_trd0pct3	 .03749764	 .06542617	 .00956911	
ethird_trd0pct4	 .04103446	 .07540865	 .00666026	
ethird_trd0pct5	 .02997998	  .0835959	-.02363593	
ethird_trd0pct6	 .02971661	 .08658198	-.02714875	
ethird_trd0pct7	 .02957178	 .10440579	-.04526223	
ethird_trd0pct8	  .0796658	 .22126299	-.06193139	
ethird_trd0pct9	 .08408445	 .22307718	-.05490828	
ethird_trd0pct10	 .08566102	 .23369072	-.06236867	
ethird_trd0pct11	 .08670787	 .23564987	-.06223414	
ethird_trd0pct12	 .08838778	 .24085318	-.06407761	
ethird_trd0pct13	 .07796225	 .23587091	 -.0799464	
ethird_trd0pct14	 .09700099	  .2456718	-.05166982	
ethird_trd0pct15	 .11543913	 .26457839	-.03370014	
ethird_trd0pct16	 .12229961	 .26584947	-.02125024	
ethird_trd3pct0	 .15000714	 .20622878	  .0937855	
ethird_trd3pct1	  .1247294	 .19760096	 .05185785	
ethird_trd3pct2	 .15059591	 .23571073	 .06548109	
ethird_trd3pct3	 .13727183	 .24311879	 .03142487	
ethird_trd3pct4	 .10795312	 .25224119	-.03633495	
ethird_trd3pct5	 .13635543	 .32402324	-.05131237	
ethird_trd3pct6	 .03217944	 .27109105	-.20673217	
ethird_trd3pct7	-.06054691	 .22727841	-.34837222	
ethird_trd3pct8	-.23570731	 .21761199	 -.6890266	
ethird_trd3pct9	-.29703745	 .19122749	-.78530239	
ethird_trd3pct10	-.34915092	 .16814548	-.86644733	
ethird_trd3pct11	-.36458191	 .15649014	-.88565397	
ethird_trd3pct12	 -.4110798	 .13881223	-.96097184	
ethird_trd3pct13	-.46508264	 .11796374	 -1.048129	
ethird_trd3pct14	-.50144344	  .0603819	-1.0632688	
ethird_trd3pct15	-.61521796	-.02065581	-1.2097801	
ethird_trd3pct16	-.70661798	-.10620822	-1.3070278	
