	estimate	upper	lower	
ethird_trd0pct0	-.00012777	 .00016244	-.00041799	
ethird_trd0pct1	-.00010917	 .00057581	-.00079415	
ethird_trd0pct2	 2.982e-06	 .00064081	-.00063484	
ethird_trd0pct3	 .00077282	 .00208696	-.00054131	
ethird_trd0pct4	 .00045822	 .00181274	 -.0008963	
ethird_trd0pct5	 .00010545	 .00076204	-.00055114	
ethird_trd0pct6	-.00014401	 .00037928	-.00066729	
ethird_trd0pct7	-.00028052	 .00026677	-.00082781	
ethird_trd0pct8	-.00030156	 .00047713	-.00108024	
ethird_trd3pct0	 .00411885	 .01339392	-.00515623	
ethird_trd3pct1	 .00509485	 .01291686	-.00272716	
ethird_trd3pct2	 .01218078	  .0181262	 .00623536	
ethird_trd3pct3	 .01224588	 .01784205	 .00664971	
ethird_trd3pct4	 .02216886	 .03013594	 .01420178	
ethird_trd3pct5	 .01123573	 .01550885	  .0069626	
ethird_trd3pct6	 .00330414	 .00842183	-.00181355	
ethird_trd3pct7	 .00412935	 .01001721	-.00175851	
ethird_trd3pct8	 .00405249	 .01317127	-.00506629	
