	estimate	upper	lower	
ethird_trd0pct0	-.00068631	  .0011842	-.00255682	
ethird_trd0pct1	 -.0016426	 .00282199	-.00610719	
ethird_trd0pct2	-.00278782	 .00510411	-.01067975	
ethird_trd0pct3	-.00297468	 .00895212	-.01490148	
ethird_trd0pct4	 -.0029822	 .01144894	-.01741334	
ethird_trd0pct5	-.00208074	  .0147078	-.01886928	
ethird_trd0pct6	-.00317181	 .01816983	-.02451346	
ethird_trd0pct7	-.00221211	 .02472012	-.02914433	
ethird_trd0pct8	 .00032629	 .02996217	-.02930958	
ethird_trd3pct0	 .00575783	 .02598056	 -.0144649	
ethird_trd3pct1	-.00960105	 .02142569	-.04062779	
ethird_trd3pct2	-.02832718	 .00950591	-.06616027	
ethird_trd3pct3	-.04418504	  .0107029	-.09907298	
ethird_trd3pct4	-.06721946	 .01456852	-.14900743	
ethird_trd3pct5	-.05012691	 .01818465	-.11843847	
ethird_trd3pct6	-.03149269	 .05215581	 -.1151412	
ethird_trd3pct7	-.04643405	 .08821852	-.18108663	
ethird_trd3pct8	-.01778853	 .16146558	-.19704263	
