	estimate	upper	lower	
ethird_trd0pct0	-.00143031	-.00006166	-.00279895	
ethird_trd0pct1	 -.0021044	-.00069999	-.00350881	
ethird_trd0pct2	-.00226785	-.00050354	-.00403216	
ethird_trd0pct3	-.00311692	 9.166e-06	  -.006243	
ethird_trd0pct4	-.00199602	 .00038957	-.00438162	
ethird_trd0pct5	-.00139557	-.00065793	 -.0021332	
ethird_trd0pct6	-.00082966	 5.178e-06	 -.0016645	
ethird_trd0pct7	-.00063008	 .00033827	-.00159842	
ethird_trd0pct8	-.00069827	 .00002159	-.00141812	
ethird_trd3pct0	 .00818408	 .01249243	 .00387574	
ethird_trd3pct1	-.00016014	 .00676909	-.00708937	
ethird_trd3pct2	  .0019781	  .0085329	 -.0045767	
ethird_trd3pct3	 -.0002088	   .004134	 -.0045516	
ethird_trd3pct4	-.03079237	-.02499665	-.03658808	
ethird_trd3pct5	-.00035414	 .00670893	-.00741721	
ethird_trd3pct6	-.00563762	 .00307681	-.01435205	
ethird_trd3pct7	 .00378497	 .01190719	-.00433726	
ethird_trd3pct8	 .00287609	 .01258264	-.00683045	
