	estimate	upper	lower	
ethird_trd0pct0	 .07786482	 .11719937	 .03853028	
ethird_trd0pct1	 .13204643	 .19917346	  .0649194	
ethird_trd0pct2	 .01286719	 .14864184	-.12290746	
ethird_trd0pct3	 .05524282	 .18550759	-.07502194	
ethird_trd0pct4	-.00307988	 .10817917	-.11433893	
ethird_trd0pct5	-.09507239	 .00717244	-.19731722	
ethird_trd0pct6	-.10940872	 .00347499	-.22229244	
ethird_trd0pct7	-.10004438	 .03954482	-.23963358	
ethird_trd0pct8	 -.1179764	 .05397457	-.28992737	
ethird_trd3pct0	 -.1109957	 .03184268	-.25383408	
ethird_trd3pct1	 .01817856	 .32420593	-.28784881	
ethird_trd3pct2	  .2272683	 .60717859	-.15264199	
ethird_trd3pct3	 .40129052	 .82430606	-.02172502	
ethird_trd3pct4	 .14075447	 .49912084	 -.2176119	
ethird_trd3pct5	 .02235475	 .49407818	-.44936867	
ethird_trd3pct6	-.03864057	 .42165403	-.49893517	
ethird_trd3pct7	-.44060086	 .09182592	-.97302764	
ethird_trd3pct8	-.70636889	-.06848866	-1.3442491	
