	estimate	upper	lower	
ethird_trd0pct0	 .06093726	 .11352859	 .00834594	
ethird_trd0pct1	 .13715132	 .30699055	-.03268792	
ethird_trd0pct2	-.10321524	  .2080984	-.41452889	
ethird_trd0pct3	-.05542339	  .2161258	-.32697259	
ethird_trd0pct4	-.26749388	 .04298524	-.57797299	
ethird_trd0pct5	-.58782227	-.21895575	-.95668879	
ethird_trd0pct6	-.80582697	-.40432131	-1.2073326	
ethird_trd0pct7	-.93442818	-.37980082	-1.4890555	
ethird_trd0pct8	  -.836041	-.15436001	 -1.517722	
ethird_trd3pct0	 .00018012	 .62164332	-.62128307	
ethird_trd3pct1	 1.1111985	  2.461418	-.23902098	
ethird_trd3pct2	 1.5425234	 2.8938245	 .19122223	
ethird_trd3pct3	 2.8853956	 3.9789068	 1.7918844	
ethird_trd3pct4	 2.3006837	 3.5249973	 1.0763702	
ethird_trd3pct5	 2.7256861	 4.4318773	 1.0194949	
ethird_trd3pct6	 2.1957874	 4.1749679	 .21660689	
ethird_trd3pct7	 1.6736171	 3.3622015	-.01496732	
ethird_trd3pct8	  1.188916	 3.0447238	-.66689191	
