	estimate	upper	lower	
ebell_trd0pct0	-.02016022	-.00843013	-.03189032	
ebell_trd0pct1	 -.0277352	 .00662597	-.06209637	
ebell_trd0pct2	 .08188624	 .16391321	-.00014073	
ebell_trd0pct3	 .09814039	 .17984776	 .01643302	
ebell_trd0pct4	 .14200689	 .22285076	 .06116303	
ebell_trd0pct5	 .15322024	 .23754362	 .06889686	
ebell_trd0pct6	 .15551019	  .2499265	 .06109389	
ebell_trd0pct7	 .18087365	 .29702972	 .06471759	
ebell_trd0pct8	 .17904835	 .29495682	 .06313988	
ebell_trd3pct0	-.07551558	 .11719709	-.26822826	
ebell_trd3pct1	-.32452352	  .1130749	-.76212195	
ebell_trd3pct2	-1.2608632	-.47566231	 -2.046064	
ebell_trd3pct3	-1.6869538	-.60986908	-2.7640385	
ebell_trd3pct4	-1.4186131	-.38925153	-2.4479747	
ebell_trd3pct5	 -3.153953	-2.0512959	-4.2566101	
ebell_trd3pct6	 -2.544006	-1.3947709	 -3.693241	
ebell_trd3pct7	-1.5218663	 2.0036191	-5.0473516	
ebell_trd3pct8	-2.1735278	 1.3763943	-5.7234498	
