	estimate	upper	lower	
ebell_trd0pct0	-.05548584	 .02351776	-.13448944	
ebell_trd0pct1	 .14095715	 .35389712	-.07198282	
ebell_trd0pct2	 .52094054	 .93508257	 .10679852	
ebell_trd0pct3	  .5414852	 .94322011	 .13975029	
ebell_trd0pct4	 .66476011	 1.0459624	 .28355779	
ebell_trd0pct5	 .70278374	  1.109157	 .29641047	
ebell_trd0pct6	 .64534116	 1.0656021	 .22508021	
ebell_trd0pct7	 .66035849	 1.0894557	 .23126126	
ebell_trd0pct8	 .61351973	  1.012056	  .2149835	
ebell_trd3pct0	-1.4624842	-.62747586	-2.2974926	
ebell_trd3pct1	-3.2849033	-.85384374	-5.7159628	
ebell_trd3pct2	-8.9191402	-4.8330932	-13.005187	
ebell_trd3pct3	-10.943551	-6.3508797	-15.536223	
ebell_trd3pct4	-11.122836	-5.9668848	-16.278788	
ebell_trd3pct5	-11.351766	-6.1893813	 -16.51415	
ebell_trd3pct6	 -7.543078	-1.5568568	-13.529299	
ebell_trd3pct7	-6.6346488	 1.6478784	-14.917176	
ebell_trd3pct8	-10.736729	 -.0249656	-21.448492	
