	estimate	upper	lower	
ebell_trd0pct0	-.00511686	 .00649523	-.01672895	
ebell_trd0pct1	 .00852436	 .03105361	-.01400488	
ebell_trd0pct2	 .03010683	 .07108032	-.01086666	
ebell_trd0pct3	 .02442409	 .06948048	 -.0206323	
ebell_trd0pct4	 .01816242	 .06506257	-.02873773	
ebell_trd0pct5	 .02150362	 .06499554	 -.0219883	
ebell_trd0pct6	 .00795927	  .0514289	-.03551036	
ebell_trd0pct7	 .00380479	 .04897345	-.04136387	
ebell_trd0pct8	-.00477447	 .03239549	-.04194443	
ebell_trd3pct0	  .2471376	 .61615664	-.12188145	
ebell_trd3pct1	  .4022258	 1.0436099	-.23915833	
ebell_trd3pct2	-.30150386	 .95537229	  -1.55838	
ebell_trd3pct3	 -.3114353	 .97241746	-1.5952881	
ebell_trd3pct4	-.53868045	 .77875623	-1.8561171	
ebell_trd3pct5	-.35790307	 1.0309182	-1.7467243	
ebell_trd3pct6	-.18646736	 1.1948478	-1.5677825	
ebell_trd3pct7	 .01467123	 1.0958283	-1.0664859	
ebell_trd3pct8	-.23359771	 1.2070239	-1.6742194	
