	estimate	upper	lower	
ebell_trd0pct0	 .00155492	 .00482545	 -.0017156	
ebell_trd0pct1	 .00415898	 .00982026	 -.0015023	
ebell_trd0pct2	 .00845309	 .01464665	 .00225953	
ebell_trd0pct3	 .00810404	 .01499509	 .00121298	
ebell_trd0pct4	 .00788368	  .0145213	 .00124605	
ebell_trd0pct5	 .00811647	 .01604937	 .00018356	
ebell_trd0pct6	 .02064423	 .03166907	 .00961939	
ebell_trd0pct7	 .02408798	 .03687751	 .01129845	
ebell_trd0pct8	 .03218077	 .04949634	  .0148652	
ebell_trd3pct0	-.04181578	-.00763029	-.07600126	
ebell_trd3pct1	-.27508034	-.02660014	-.52356055	
ebell_trd3pct2	-.37723691	-.15639768	-.59807615	
ebell_trd3pct3	-.43922436	-.23252451	 -.6459242	
ebell_trd3pct4	-.47054882	-.30081152	-.64028613	
ebell_trd3pct5	-.67001751	-.52708697	-.81294806	
ebell_trd3pct6	-.79347909	-.63648633	-.95047186	
ebell_trd3pct7	-.82742588	-.64292284	-1.0119289	
ebell_trd3pct8	-.87084923	-.63091061	-1.1107879	
