	estimate	upper	lower	
ebell_trd0pct0	-.01449877	 .00240425	-.03140178	
ebell_trd0pct1	 .00595299	 .03777885	-.02587288	
ebell_trd0pct2	   .060848	 .14701656	-.02532056	
ebell_trd0pct3	 .05682903	 .15400193	-.04034387	
ebell_trd0pct4	  .0726912	 .17257527	-.02719286	
ebell_trd0pct5	 .08218631	 .17611782	-.01174521	
ebell_trd0pct6	 .06462233	 .16171114	-.03246648	
ebell_trd0pct7	 .07475547	 .17368258	-.02417164	
ebell_trd0pct8	  .0750089	 .17067574	-.02065794	
ebell_trd3pct0	-.40723519	 .05411783	-.86858821	
ebell_trd3pct1	-.90705462	  -.340567	-1.4735422	
ebell_trd3pct2	-1.2033133	-.15618727	-2.2504393	
ebell_trd3pct3	-1.8283524	-.47198619	-3.1847186	
ebell_trd3pct4	-2.2040759	-.93946856	-3.4686833	
ebell_trd3pct5	-1.7171519	-.59815752	-2.8361463	
ebell_trd3pct6	-1.3919016	-.27784759	-2.5059556	
ebell_trd3pct7	-1.9200918	 -.5542979	-3.2858856	
ebell_trd3pct8	-2.7691286	-.89081109	 -4.647446	
