	estimate	upper	lower	
esite0	-.88819952	-.29724241	-1.4791566	
esite1	-.46285954	 .54485107	-1.4705701	
esite2	 .90220869	 2.2643575	-.45994013	
esite3	 .97944336	 2.9997116	-1.0408249	
esite4	-.03278177	  1.675922	-1.7414855	
esite5	-1.9502177	-1.1833099	-2.7171255	
esite6	-2.1035637	-1.5558393	-2.6512881	
esite7	 -2.638541	 -1.950812	  -3.32627	
esite8	-2.6813632	-1.8453033	-3.5174232	
esite9	-3.0550438	-2.1122093	-3.9978782	
esite10	-2.9346953	-1.8280727	-4.0413178	
esite11	-3.1139692	-1.9104973	-4.3174411	
esite12	-3.6724202	-2.4918584	 -4.852982	
esite13	-3.7248025	-2.5309246	-4.9186803	
esite14	-4.0383327	-2.7590796	-5.3175857	
esite15	-4.0446549	-2.6816614	-5.4076484	
esite16	-4.4456428	 -3.043106	-5.8481796	
ebelligerent0	-.03261621	 .10757821	-.17281064	
ebelligerent1	-.14450051	 .05351809	-.34251912	
ebelligerent2	-.02085699	 .18637545	-.22808942	
ebelligerent3	-.25657297	 -.0839333	-.42921264	
ebelligerent4	-.43787232	-.18188673	-.69385791	
ebelligerent5	-.07532287	 .13830779	-.28895352	
ebelligerent6	 .04072879	 .36899616	-.28753858	
ebelligerent7	-.07826275	 .52256625	-.67909176	
ebelligerent8	-.11970798	 .41406237	-.65347832	
ebelligerent9	-.18346898	 .29530237	-.66224033	
ebelligerent10	 .01368252	  .6841005	-.65673546	
ebelligerent11	 .08829605	 .78719933	-.61060724	
ebelligerent12	-.12714805	 .63028721	-.88458332	
ebelligerent13	 -.2010006	 .53900032	-.94100152	
ebelligerent14	-.18209291	 .51685284	-.88103865	
ebelligerent15	-.26340444	 .57806915	 -1.104878	
ebelligerent16	-.29487683	 .79917413	-1.3889278	
ethird0	-.15041708	 .04891255	-.34974672	
ethird1	-.24789152	 .04764835	 -.5434314	
ethird2	-.26703798	 .11841046	-.65248642	
ethird3	-.50689678	-.05382743	-.95996613	
ethird4	-.98226271	-.50324843	 -1.461277	
ethird5	-.78452849	-.25630119	-1.3127558	
ethird6	-.61495493	-.05492984	  -1.17498	
ethird7	-.93414143	-.27526644	-1.5930164	
ethird8	-.90123871	 -.3477412	-1.4547362	
ethird9	-.81864143	-.36205314	-1.2752297	
ethird10	-.70888333	-.08945694	-1.3283097	
ethird11	 -.5847094	-.01124791	-1.1581709	
ethird12	-.74758136	-.17075553	-1.3244072	
ethird13	-1.0486098	-.45065243	-1.6465672	
ethird14	-.87772911	-.20452877	-1.5509294	
ethird15	-.96402491	-.17083296	-1.7572169	
ethird16	-1.3255687	-.32365258	-2.3274848	
