	estimate	upper	lower	
esite0	-.35067235	-.01941451	-.68193018	
esite1	-.76912293	  .1515035	-1.6897494	
esite2	-.14497121	 .23490166	-.52484408	
esite3	-.22026415	 .24458753	-.68511582	
esite4	-.43910933	 .20620134	  -1.08442	
esite5	-1.2997878	-.26948176	-2.3300939	
esite6	-.44964825	  .5668922	-1.4661887	
esite7	 .10279407	  1.071778	 -.8661899	
esite8	-.22342386	 .68814095	-1.1349887	
ebelligerent0	 .03067567	 .14864441	-.08729306	
ebelligerent1	  .3101353	  .5401241	 .08014651	
ebelligerent2	 .37448481	 .65963891	 .08933072	
ebelligerent3	 .92015038	 1.1006815	 .73961926	
ebelligerent4	 1.1443562	  1.364774	 .92393849	
ebelligerent5	 1.4766247	 2.1351537	 .81809583	
ebelligerent6	 1.2786465	 1.8691991	 .68809386	
ebelligerent7	  1.447376	 2.0995765	 .79517547	
ebelligerent8	 1.2858084	 1.8516548	 .71996205	
ethird0	 .03454594	  .1883311	-.11923922	
ethird1	 .23667942	 .72031297	-.24695412	
ethird2	 .03793877	 .48900417	-.41312663	
ethird3	 .10169938	 .45965592	-.25625716	
ethird4	 .12122594	 .34417281	-.10172093	
ethird5	 .58520268	 1.3334945	-.16308913	
ethird6	 .44581613	 1.0299186	-.13828629	
ethird7	 .62236438	 1.3378403	-.09311157	
ethird8	 .57176609	 1.1529695	-.00943735	
