	estimate	upper	lower	
ethird_trd0pct0	-.01506648	 .01151446	-.04164742	
ethird_trd0pct1	-.00846543	 .05006444	 -.0669953	
ethird_trd0pct2	 .01514658	  .0895631	-.05926994	
ethird_trd0pct3	 .00131224	 .07657023	-.07394575	
ethird_trd0pct4	 .00164724	 .07778681	-.07449233	
ethird_trd0pct5	 .00050987	 .06078071	-.05976098	
ethird_trd0pct6	-.00737359	 .03955305	-.05430024	
ethird_trd0pct7	-.01379226	 .03867086	-.06625538	
ethird_trd0pct8	-.01835098	 .02676416	-.06346611	
ethird_trd0pct9	-.02930225	 .01826113	-.07686563	
ethird_trd0pct10	-.02845634	 .02006755	-.07698022	
ethird_trd0pct11	-.05507719	 .00493767	-.11509205	
ethird_trd0pct12	-.03461321	 .02209309	-.09131951	
ethird_trd0pct13	 .02931817	 .10246885	-.04383251	
ethird_trd0pct14	 .01072479	 .08102764	-.05957806	
ethird_trd0pct15	-.01789251	 .04634098	  -.082126	
ethird_trd0pct16	-.04658933	 .02417113	 -.1173498	
ethird_trd3pct0	-.07589654	 .14839223	 -.3001853	
ethird_trd3pct1	-.06543268	  .3870056	-.51787096	
ethird_trd3pct2	-.80359291	-.40277917	-1.2044066	
ethird_trd3pct3	-1.2812987	 -.6454118	-1.9171855	
ethird_trd3pct4	-1.3872546	-.88444078	-1.8900685	
ethird_trd3pct5	-1.2022131	-.87275273	-1.5316735	
ethird_trd3pct6	-1.5558759	 -1.196524	-1.9152278	
ethird_trd3pct7	-2.0839087	-1.7426886	-2.4251287	
ethird_trd3pct8	-2.0026045	-1.5854252	-2.4197839	
ethird_trd3pct9	  -1.43928	-1.0611387	-1.8174213	
ethird_trd3pct10	-1.1074837	 -.5932686	-1.6216988	
ethird_trd3pct11	-1.1707537	 -.7010081	-1.6404994	
ethird_trd3pct12	  -1.41186	-.79774014	-2.0259799	
ethird_trd3pct13	-1.5801365	 -.9091681	 -2.251105	
ethird_trd3pct14	-1.4242585	-.85201322	-1.9965038	
ethird_trd3pct15	 -1.760311	-1.1084304	-2.4121917	
ethird_trd3pct16	-2.4377416	-1.6479341	 -3.227549	
