	estimate	upper	lower	
ethird_trd0pct0	 .03934473	 .06597899	 .01271047	
ethird_trd0pct1	 .07678466	 .13689308	 .01667623	
ethird_trd0pct2	 .11879642	 .18894877	 .04864407	
ethird_trd0pct3	 .08774298	 .14822012	 .02726583	
ethird_trd0pct4	 .10228136	 .14570964	 .05885308	
ethird_trd0pct5	 .11230562	 .18808255	 .03652869	
ethird_trd0pct6	 .11470739	 .17305463	 .05636016	
ethird_trd0pct7	 .11503706	 .16800305	 .06207108	
ethird_trd0pct8	  .0903471	  .1470069	 .03368731	
ethird_trd3pct0	-.00377371	 .33300048	 -.3405479	
ethird_trd3pct1	-.12076743	 .43955113	-.68108599	
ethird_trd3pct2	-1.0981562	-.71794677	-1.4783656	
ethird_trd3pct3	-1.5690136	 -.9490027	-2.1890246	
ethird_trd3pct4	-1.4772756	-1.0501446	-1.9044065	
ethird_trd3pct5	-1.1726838	 -.8961814	-1.4491863	
ethird_trd3pct6	-1.3277858	-1.0678445	-1.5877271	
ethird_trd3pct7	-1.4383982	 -.9957777	-1.8810187	
ethird_trd3pct8	-1.5930344	-1.1897193	-1.9963495	
