	estimate	upper	lower	
ebell_trd0pct0	 .01934125	 .02813916	 .01054333	
ebell_trd0pct1	 .02173953	 .04167223	 .00180682	
ebell_trd0pct2	 .03745085	 .06337801	 .01152368	
ebell_trd0pct3	 .04419657	 .07557288	 .01282026	
ebell_trd0pct4	 .04485849	 .07631802	 .01339897	
ebell_trd0pct5	 .01907985	 .04661119	 -.0084515	
ebell_trd0pct6	 .01514189	 .04566553	-.01538175	
ebell_trd0pct7	 .04643243	 .09361337	-.00074851	
ebell_trd0pct8	 .01207824	 .04991833	-.02576184	
ebell_trd3pct0	-.55662024	-.32085891	-.79238156	
ebell_trd3pct1	-.62048943	 -.2208261	-1.0201527	
ebell_trd3pct2	-.01382928	 .45107739	-.47873595	
ebell_trd3pct3	-.30544687	 .28500248	-.89589622	
ebell_trd3pct4	-.55028204	 .29055812	-1.3911222	
ebell_trd3pct5	-.32802055	  .4998346	-1.1558757	
ebell_trd3pct6	-.98389015	-.35456746	-1.6132128	
ebell_trd3pct7	-1.5296923	-.81273816	-2.2466464	
ebell_trd3pct8	-1.2686631	-.59872845	-1.9385978	
