	estimate	upper	lower	
ebell_trd0pct0	-.02330708	-.00833988	-.03827428	
ebell_trd0pct1	-.04270227	-.02351324	 -.0618913	
ebell_trd0pct2	-.00584845	 .01071596	-.02241286	
ebell_trd0pct3	 .02551662	 .05683382	-.00580059	
ebell_trd0pct4	 .03124684	 .06307517	-.00058149	
ebell_trd0pct5	 .02081276	 .05022714	-.00860161	
ebell_trd0pct6	 .01694925	 .04458278	-.01068428	
ebell_trd0pct7	 .04469312	 .07307338	 .01631285	
ebell_trd0pct8	 .02536634	 .04732046	 .00341221	
ebell_trd3pct0	-.64199946	-.48137515	-.80262378	
ebell_trd3pct1	-1.1845509	-.71757047	-1.6515314	
ebell_trd3pct2	-.19179999	 .20048525	-.58408522	
ebell_trd3pct3	-1.1463058	-.47633809	-1.8162736	
ebell_trd3pct4	 -1.326824	-.30587047	-2.3477776	
ebell_trd3pct5	-1.1892381	-.20617768	-2.1722986	
ebell_trd3pct6	-1.3641576	-.43896772	-2.2893475	
ebell_trd3pct7	-1.7591233	-.94098041	-2.5772663	
ebell_trd3pct8	-1.4572188	-.20374731	-2.7106902	
