	estimate	upper	lower	
ethird_trd0pct0	 .00088741	 .00524737	-.00347255	
ethird_trd0pct1	 .00066318	 .00806966	 -.0067433	
ethird_trd0pct2	-.00738457	 .00419362	-.01896277	
ethird_trd0pct3	-.01744465	 .00694949	-.04183879	
ethird_trd0pct4	-.01324234	  .0124014	-.03888609	
ethird_trd0pct5	-.01135534	 .01566016	-.03837084	
ethird_trd0pct6	-.01544501	 .01274027	 -.0436303	
ethird_trd0pct7	-.02521138	 .01150542	-.06192818	
ethird_trd0pct8	-.02840732	  .0122479	-.06906254	
ethird_trd0pct9	 -.0362033	 .00999668	-.08240327	
ethird_trd0pct10	-.04845462	-.00513812	-.09177113	
ethird_trd0pct11	-.04950785	-.00077722	-.09823848	
ethird_trd0pct12	 -.0468382	 .00418199	 -.0978584	
ethird_trd0pct13	-.04584299	 .00539625	-.09708223	
ethird_trd0pct14	-.05283161	-.00230409	-.10335913	
ethird_trd0pct15	-.06126565	-.00684034	-.11569097	
ethird_trd0pct16	-.06760408	-.00764192	-.12756623	
ethird_trd3pct0	-.11127372	-.06042578	-.16212166	
ethird_trd3pct1	-.14931889	-.07635903	-.22227875	
ethird_trd3pct2	-.13033206	-.03481981	-.22584432	
ethird_trd3pct3	-.10331513	 .03037222	-.23700249	
ethird_trd3pct4	-.20488239	-.03354569	-.37621909	
ethird_trd3pct5	-.23394781	-.05241445	-.41548117	
ethird_trd3pct6	-.26341936	-.09016845	-.43667028	
ethird_trd3pct7	-.21702283	-.01620686	-.41783879	
ethird_trd3pct8	-.16245774	 .04475292	-.36966839	
ethird_trd3pct9	-.22911913	 .00876879	-.46700706	
ethird_trd3pct10	-.31549699	 -.0639144	-.56707957	
ethird_trd3pct11	-.28397326	-.02425339	-.54369313	
ethird_trd3pct12	-.31012538	-.02561303	-.59463774	
ethird_trd3pct13	-.29665456	-.04726891	-.54604021	
ethird_trd3pct14	-.23127737	 .01136897	 -.4739237	
ethird_trd3pct15	-.19313573	 .05801411	-.44428558	
ethird_trd3pct16	-.20232589	 .07686306	-.48151485	
