	estimate	upper	lower	
ethird_trd0pct0	-.02311602	 .00759436	-.05382639	
ethird_trd0pct1	-.11807826	-.06847091	-.16768562	
ethird_trd0pct2	-.21347692	-.16217311	-.26478072	
ethird_trd0pct3	-.30829611	-.25577018	-.36082205	
ethird_trd0pct4	-.42085343	-.33330452	-.50840234	
ethird_trd0pct5	-.48396726	-.36099767	-.60693684	
ethird_trd0pct6	-.54061962	-.36315121	-.71808803	
ethird_trd0pct7	-.65092954	-.42391743	-.87794165	
ethird_trd0pct8	-.71650471	-.43492854	-.99808088	
ethird_trd3pct0	  .5443827	  1.505665	-.41689958	
ethird_trd3pct1	 .99317944	 2.4968145	-.51045561	
ethird_trd3pct2	  .5589577	 2.2019977	-1.0840823	
ethird_trd3pct3	  -.161776	 1.8039065	-2.1274585	
ethird_trd3pct4	 -.6453703	 1.5185437	-2.8092843	
ethird_trd3pct5	-.34767558	 2.1258307	-2.8211819	
ethird_trd3pct6	-.61159929	  2.141346	-3.3645446	
ethird_trd3pct7	-.69263692	 2.0507766	-3.4360505	
ethird_trd3pct8	-.10068298	 3.6086024	-3.8099683	
