	estimate	upper	lower	
ethird_trd0pct0	 .08062075	 .15749423	 .00374727	
ethird_trd0pct1	 .38334347	 .52767463	  .2390123	
ethird_trd0pct2	 .17796874	 .42056478	 -.0646273	
ethird_trd0pct3	 .31505924	  .5277875	 .10233098	
ethird_trd0pct4	  .7098013	 1.1171903	 .30241228	
ethird_trd0pct5	 .55779127	  .8881524	 .22743015	
ethird_trd0pct6	 .75145381	  1.182222	 .32068565	
ethird_trd0pct7	 .71143326	 1.3475587	 .07530777	
ethird_trd0pct8	 .62146656	 1.3489085	-.10597535	
ethird_trd3pct0	 .09092128	 .73157182	-.54972926	
ethird_trd3pct1	 .12185406	 1.3131024	-1.0693942	
ethird_trd3pct2	 1.1876197	 2.9032221	-.52798273	
ethird_trd3pct3	 2.6768767	 4.5653707	 .78838277	
ethird_trd3pct4	 2.4682687	 4.7974355	 .13910185	
ethird_trd3pct5	 2.5530258	  5.196435	-.09038346	
ethird_trd3pct6	 .75280778	 3.3684744	-1.8628588	
ethird_trd3pct7	-1.4831216	 1.2835816	-4.2498247	
ethird_trd3pct8	-4.1870037	-1.2756233	 -7.098384	
