	estimate	upper	lower	
ethird_trd0pct0	 .06462957	 .11294656	 .01631257	
ethird_trd0pct1	 .17133016	 .26833611	 .07432422	
ethird_trd0pct2	 .24278734	 .36695158	  .1186231	
ethird_trd0pct3	  .3001233	 .44533889	  .1549077	
ethird_trd0pct4	 .31586184	 .47435405	 .15736962	
ethird_trd0pct5	 .32962387	 .49366378	 .16558396	
ethird_trd0pct6	 .29259073	 .44107376	  .1441077	
ethird_trd0pct7	 .23855468	 .34441487	 .13269449	
ethird_trd0pct8	 .23668612	 .31533569	 .15803654	
ethird_trd3pct0	-.21683956	 .10699881	-.54067793	
ethird_trd3pct1	-.24249417	 .19105326	-.67604159	
ethird_trd3pct2	-.49198863	 .16152422	-1.1455015	
ethird_trd3pct3	-.67127656	 .83373552	-2.1762886	
ethird_trd3pct4	-.94544241	 .94757472	-2.8384595	
ethird_trd3pct5	-.37776848	 1.2961315	-2.0516685	
ethird_trd3pct6	-.09606057	 1.4821506	-1.6742718	
ethird_trd3pct7	 .29275447	 1.6612016	-1.0756926	
ethird_trd3pct8	 .32561519	 1.6607466	-1.0095163	
