	estimate	upper	lower	
ethird_trd0pct0	-.08530088	-.05143311	-.11916865	
ethird_trd0pct1	-.01114624	 .04229201	-.06458448	
ethird_trd0pct2	-.13646488	-.05734356	-.21558621	
ethird_trd0pct3	-.08053814	 .01311796	-.17419424	
ethird_trd0pct4	 .01808431	 .05199566	-.01582704	
ethird_trd0pct5	 .02594551	 .05837378	-.00648276	
ethird_trd0pct6	 .03814365	 .08537368	-.00908639	
ethird_trd0pct7	 .02155881	 .07787613	-.03475851	
ethird_trd0pct8	 .05602426	 .12163242	-.00958391	
ethird_trd3pct0	-.19984005	-.10425891	-.29542119	
ethird_trd3pct1	-.78686022	-.50183362	-1.0718868	
ethird_trd3pct2	-.85267348	-.59560571	-1.1097413	
ethird_trd3pct3	-.86329418	-.50270783	-1.2238805	
ethird_trd3pct4	-.71790658	-.38614361	-1.0496695	
ethird_trd3pct5	-.41598333	 .04463817	-.87660483	
ethird_trd3pct6	 -.2837223	-.02475404	-.54269056	
ethird_trd3pct7	-.16138672	 .04242149	-.36519493	
ethird_trd3pct8	 .03537123	 .31955085	-.24880839	
