	estimate	upper	lower	
esite0	-1.6526231	 -.7956637	-2.5095826	
esite1	 -4.015959	-2.0860183	-5.9458998	
esite2	-4.0175738	-1.8514717	-6.1836759	
esite3	-4.1466469	-1.9944746	-6.2988192	
esite4	-4.4952153	-2.3757397	-6.6146908	
esite5	-3.8089472	-1.8491393	-5.7687551	
esite6	  .0149972	  1.104051	-1.0740566	
esite7	 .34844575	  1.574184	-.87729247	
esite8	 .86636142	 2.1588737	 -.4261509	
esite9	 .74731268	 2.1946067	-.69998137	
esite10	 .45145202	  1.999922	-1.0970179	
esite11	 1.2626598	 3.2776503	-.75233057	
esite12	 1.3856087	 3.5850242	-.81380689	
esite13	 1.2145969	 3.4824111	-1.0532172	
esite14	 1.2339417	 3.4467371	 -.9788536	
esite15	 .84434824	 2.7228054	-1.0341089	
esite16	 .83833716	 2.6726348	-.99596043	
ebelligerent0	  .0269143	  .2252873	 -.1714587	
ebelligerent1	 .04381771	 .29920897	-.21157354	
ebelligerent2	-.48909525	-.08239558	-.89579492	
ebelligerent3	-.47154213	-.12493972	-.81814455	
ebelligerent4	 -.0921332	 .32948279	-.51374918	
ebelligerent5	 -.1826864	 .50351211	-.86888491	
ebelligerent6	 .01510325	   .604584	-.57437749	
ebelligerent7	 .68350106	 1.0780466	 .28895554	
ebelligerent8	 .53473382	 .91725842	 .15220921	
ebelligerent9	 .52763517	 .90339701	 .15187333	
ebelligerent10	 .62167179	 .99254243	 .25080115	
ebelligerent11	  .6547461	  1.050067	 .25942519	
ebelligerent12	 .53873603	 .96010146	  .1173706	
ebelligerent13	 .47993963	 .92438985	 .03548942	
ebelligerent14	 .48780118	 .92487033	 .05073203	
ebelligerent15	 .36565866	 .79606035	-.06474303	
ebelligerent16	 .20819968	 .62372941	-.20733005	
ethird0	-.02801981	  .1655241	-.22156373	
ethird1	 .31557086	 1.0713253	-.44018362	
ethird2	 .31910444	 1.1403146	-.50210571	
ethird3	 .15670425	 .87219424	-.55878574	
ethird4	-.03743404	 .63244793	-.70731602	
ethird5	-.05996036	 .73355984	-.85348057	
ethird6	-.05256619	 .84650566	-.95163804	
ethird7	-.00429402	 .93931916	-.94790721	
ethird8	-.08504076	 .79385239	 -.9639339	
ethird9	 .03154736	  .8447273	-.78163258	
ethird10	 .10505052	 .98373621	-.77363517	
ethird11	 .01871489	 .99999964	-.96256986	
ethird12	-.04504187	 .98520975	-1.0752935	
ethird13	-.11376365	 .90705672	 -1.134584	
ethird14	-.40112539	 .55815788	-1.3604087	
ethird15	-.50343201	  .4051359	-1.4119999	
ethird16	-.54089827	 .30684646	 -1.388643	
