	estimate	upper	lower	
esite0	 .09891157	 .14760951	 .05021363	
esite1	 .08493531	 .10581319	 .06405743	
esite2	 .04325925	 .06651512	 .02000338	
esite3	 .05874806	  .1046774	 .01281872	
esite4	 .06262205	 .07433122	 .05091288	
esite5	-.00899277	 .00294882	-.02093436	
esite6	 -.0193468	-.00982678	-.02886683	
esite7	 -.0207318	 -.0021953	 -.0392683	
esite8	-.01980631	-.00221216	-.03740047	
ebelligerent0	-.00537749	 .00499163	 -.0157466	
ebelligerent1	 .02097269	  .0665021	-.02455671	
ebelligerent2	 .00377224	 .02084243	-.01329794	
ebelligerent3	 .00612994	 .01691324	-.00465337	
ebelligerent4	 .00762907	 .01586174	-.00060359	
ebelligerent5	-.00043193	 .01141051	-.01227436	
ebelligerent6	-.00154457	 .01088264	-.01397178	
ebelligerent7	 .00712454	 .02196482	-.00771573	
ebelligerent8	 .00601022	 .01685068	-.00483024	
ethird0	-.00037717	 .00482184	-.00557618	
ethird1	 .00596999	 .01418871	-.00224873	
ethird2	-.00606797	 .00393489	-.01607083	
ethird3	-.00089226	 .00907743	-.01086195	
ethird4	 .02969866	 .06180415	-.00240682	
ethird5	 .00247394	 .01251136	-.00756348	
ethird6	-.00090464	  .0086195	-.01042879	
ethird7	-.00748371	 .00130061	-.01626802	
ethird8	-.00551592	 .00307384	-.01410567	
