	estimate	upper	lower	
esite0	-1.9678763	-.18776481	-3.7479878	
esite1	-6.2830466	 .17347337	-12.739567	
esite2	-6.0119696	 .48593045	 -12.50987	
esite3	 -8.109727	-3.0869849	-13.132469	
esite4	-8.1023633	-3.1849271	-13.019799	
esite5	-6.0251837	-1.2987122	-10.751655	
esite6	 1.0926442	 7.8272868	-5.6419985	
esite7	 -.5574351	 6.6418071	-7.7566773	
esite8	 -.8083213	 6.5957642	-8.2124067	
ebelligerent0	-.18528433	 .59232661	-.96289528	
ebelligerent1	 -.8664812	 .37285197	-2.1058144	
ebelligerent2	-2.1616435	-.17223527	-4.1510518	
ebelligerent3	-2.1217747	-.31548488	-3.9280644	
ebelligerent4	-.98842066	   .849239	-2.8260803	
ebelligerent5	  .6354956	 3.2457443	-1.9747531	
ebelligerent6	 1.7262684	  4.262096	-.80955927	
ebelligerent7	 2.8709515	 5.5399783	 .20192481	
ebelligerent8	  1.937596	 4.4746133	-.59942132	
ethird0	-.05983838	 .46755514	-.58723191	
ethird1	 .09849939	 1.3012771	-1.1042783	
ethird2	 -.2275298	 1.0750167	-1.5300763	
ethird3	-.54907217	 .73461714	-1.8327615	
ethird4	-.56655667	 .91249055	-2.0456039	
ethird5	-.28974152	 1.6973316	-2.2768147	
ethird6	-.87117928	 1.8294515	  -3.57181	
ethird7	-2.1905664	 .25045158	-4.6315844	
ethird8	-3.6928889	-1.2726661	-6.1131118	
