	estimate	upper	lower	
esite0	-.87606463	-.16515476	-1.5869745	
esite1	-1.6087531	-.27467409	-2.9428321	
esite2	-1.7027153	-.25044489	-3.1549857	
esite3	-1.7389394	-.15556415	-3.3223147	
esite4	-1.7890933	 .03134092	-3.6095276	
esite5	-1.0534288	 .13164793	-2.2385056	
esite6	-.89968825	 .14640877	-1.9457853	
esite7	-.78345323	  .1716759	-1.7385824	
esite8	-.86885514	-.03054441	-1.7071659	
ebelligerent0	 .05755607	 .10360707	 .01150508	
ebelligerent1	 .01155079	 .11909141	-.09598983	
ebelligerent2	-.01778521	 .15965689	-.19522732	
ebelligerent3	-.02290312	 .15750728	-.20331353	
ebelligerent4	-.09669502	 .09730397	  -.290694	
ebelligerent5	 .04898441	 .22749878	-.12952995	
ebelligerent6	 .11681959	 .28961175	-.05597257	
ebelligerent7	 .08588881	 .27871009	-.10693247	
ebelligerent8	 .12674106	 .28664441	-.03316229	
ethird0	 .08689856	 .23180364	-.05800652	
ethird1	 .06941012	 .34792663	-.20910639	
ethird2	 .00119564	 .30593962	-.30354835	
ethird3	-.05924067	 .21061974	-.32910109	
ethird4	-.08111283	 .22271847	-.38494413	
ethird5	-.09409712	 .26962016	 -.4578144	
ethird6	-.23912388	 .14838219	-.62662995	
ethird7	-.32469399	 .05555248	-.70494046	
ethird8	-.43748094	-.04263759	-.83232429	
