	estimate	upper	lower	
esite0	 .09231876	 .12239077	 .06224676	
esite1	  .0488389	  .0676963	  .0299815	
esite2	-.00427669	 .01742652	-.02597989	
esite3	 -.0281439	 .01109938	-.06738717	
esite4	-.08341505	-.04117003	-.12566007	
esite5	-.04150522	-.03333014	 -.0496803	
esite6	-.03967837	-.02318727	-.05616948	
esite7	-.02650819	-.00156582	-.05145057	
esite8	-.02766701	-.00402725	-.05130677	
ebelligerent0	 .00238215	 .01245865	-.00769436	
ebelligerent1	-.00054687	 .02842945	-.02952319	
ebelligerent2	 .01208145	 .02619902	-.00203612	
ebelligerent3	 -.0112375	 .00243913	-.02491414	
ebelligerent4	-.02011675	 .00232107	-.04255457	
ebelligerent5	-.00724314	  .0077192	-.02220548	
ebelligerent6	 .00105249	  .0140476	-.01194261	
ebelligerent7	 .01701698	 .02502175	 .00901221	
ebelligerent8	 .01252857	 .02043458	 .00462257	
ethird0	  .0107748	 .01801954	 .00353005	
ethird1	-.02861984	-.00993711	-.04730257	
ethird2	-.00772057	 .00793375	 -.0233749	
ethird3	-.02323891	-.01135504	-.03512278	
ethird4	-.04581755	-.01352415	-.07811094	
ethird5	-.01301825	 -.0011911	 -.0248454	
ethird6	-.00824163	  .0036032	-.02008647	
ethird7	-.00595511	 .00125067	-.01316089	
ethird8	-.00925206	-.00280449	-.01569963	
