	estimate	upper	lower	
esite0	 .00779735	 .02226823	-.00667353	
esite1	 .00622906	 .03357276	-.02111465	
esite2	 .00456741	 .05245539	-.04332058	
esite3	  .0171159	 .07863805	-.04440626	
esite4	 .01265104	  .0883479	-.06304582	
esite5	 .02327461	 .09885937	-.05231014	
esite6	  .0198868	 .10462768	-.06485408	
esite7	 .01244996	 .12434536	-.09944543	
esite8	  .0203022	 .13322443	-.09262002	
ebelligerent0	 .04788259	 .11095867	 -.0151935	
ebelligerent1	 .09326325	  .1693119	 .01721461	
ebelligerent2	 .11073588	 .20840771	 .01306405	
ebelligerent3	 .11570166	 .25578771	-.02438439	
ebelligerent4	 .17687601	 .33287353	 .02087849	
ebelligerent5	 .24573347	 .36159701	 .12986993	
ebelligerent6	  .3184665	 .40859959	  .2283334	
ebelligerent7	 .36707118	 .49678146	  .2373609	
ebelligerent8	 .38155712	 .54245508	 .22065917	
ethird0	 .07559779	 .11864748	 .03254809	
ethird1	 .12632432	 .15734726	 .09530139	
ethird2	 .16711635	 .20025733	 .13397536	
ethird3	  .1486207	 .20995419	 .08728721	
ethird4	 .21841287	 .29425731	 .14256842	
ethird5	 .32818781	 .40730778	 .24906785	
ethird6	 .42373493	 .53006896	 .31740091	
ethird7	 .41029249	 .58105581	 .23952917	
ethird8	 .43728975	 .66921838	 .20536112	
