	estimate	upper	lower	
esite0	-2.3125831	-1.7657227	-2.8594435	
esite1	-2.7174319	-1.8100758	 -3.624788	
esite2	-2.7192218	-1.7305792	-3.7078644	
esite3	 -2.633442	-1.6209909	-3.6458931	
esite4	-2.4682133	-1.1509805	-3.7854461	
esite5	-2.5172583	-.36502108	-4.6694955	
esite6	 -2.550512	-.39118026	-4.7098438	
esite7	-2.9856171	-.55703395	-5.4142002	
esite8	-2.6937268	-.48643821	-4.9010154	
ebelligerent0	-.10030106	 .05745834	-.25806046	
ebelligerent1	 .30531017	  .7651715	-.15455116	
ebelligerent2	 .51499336	 1.0623767	-.03238994	
ebelligerent3	 .48540254	 1.2814098	-.31060477	
ebelligerent4	 .01559887	 .68338262	-.65218487	
ebelligerent5	-.43305542	 .25984942	-1.1259603	
ebelligerent6	-.73778722	-.14978701	-1.3257874	
ebelligerent7	-1.0901819	-.45798986	 -1.722374	
ebelligerent8	-1.0943257	-.36486779	-1.8237837	
ethird0	 .01179326	  .1767646	-.15317809	
ethird1	 .42941824	 .88033974	-.02150327	
ethird2	 .76017651	 1.2310965	 .28925654	
ethird3	 .91354555	 1.3869704	 .44012072	
ethird4	 .55334666	 1.0588878	  .0478055	
ethird5	-.25173032	 .69063955	-1.1941002	
ethird6	-.59976152	 .28822322	-1.4877463	
ethird7	 -1.102121	 .02683049	-2.2310726	
ethird8	-1.1034146	 .18954153	-2.3963707	
