	estimate	upper	lower	
ethird_trd0pct0	-.00241377	 .01223149	-.01705903	
ethird_trd0pct1	 .00149754	 .01669236	-.01369727	
ethird_trd0pct2	 .02461658	 .04225309	 .00698008	
ethird_trd0pct3	 .05290967	 .08060721	 .02521213	
ethird_trd0pct4	 .04890579	 .08049412	 .01731745	
ethird_trd0pct5	 .03686383	 .08145527	-.00772761	
ethird_trd0pct6	 .05680269	 .10260601	 .01099937	
ethird_trd0pct7	 .07050552	 .12156056	 .01945049	
ethird_trd0pct8	 .09869026	 .18481892	  .0125616	
ethird_trd0pct9	 .10054845	 .19235172	 .00874519	
ethird_trd0pct10	 .10294816	 .19840687	 .00748946	
ethird_trd0pct11	 .10467071	 .21788849	-.00854707	
ethird_trd0pct12	 .09736167	 .22158101	-.02685766	
ethird_trd0pct13	 .09660713	 .21673144	-.02351718	
ethird_trd0pct14	 .10791966	 .22130186	-.00546254	
ethird_trd0pct15	 .11431565	 .23387055	-.00523926	
ethird_trd0pct16	 .11512698	 .23653187	-.00627791	
ethird_trd3pct0	-.20980597	-.09426841	-.32534354	
ethird_trd3pct1	-.13191449	 .06779391	-.33162288	
ethird_trd3pct2	-.11746738	 .06259672	-.29753149	
ethird_trd3pct3	 .04806274	  .2183234	-.12219792	
ethird_trd3pct4	 .04834122	 .22709425	-.13041182	
ethird_trd3pct5	 .01173768	 .23928961	-.21581426	
ethird_trd3pct6	-.04483216	 .20895739	-.29862171	
ethird_trd3pct7	-.18109482	 .07692802	-.43911766	
ethird_trd3pct8	-.36713783	-.02230112	-.71197454	
ethird_trd3pct9	-.39399106	-.02522158	-.76276054	
ethird_trd3pct10	-.47041996	 -.0751479	-.86569203	
ethird_trd3pct11	-.51597585	-.08303469	-.94891701	
ethird_trd3pct12	-.56586391	-.10486076	-1.0268671	
ethird_trd3pct13	 -.5623626	-.07904444	-1.0456808	
ethird_trd3pct14	-.70055551	-.21825622	-1.1828548	
ethird_trd3pct15	-.79509069	-.23509228	-1.3550891	
ethird_trd3pct16	-.85152786	-.16842941	-1.5346263	
