	estimate	upper	lower	
ethird_trd0pct0	-.00068631	  .0011842	-.00255682	
ethird_trd0pct1	 -.0016426	 .00282199	-.00610719	
ethird_trd0pct2	-.00278782	 .00510411	-.01067975	
ethird_trd0pct3	-.00297468	 .00895212	-.01490148	
ethird_trd0pct4	 -.0029822	 .01144894	-.01741334	
ethird_trd0pct5	-.00208074	  .0147078	-.01886928	
ethird_trd0pct6	-.00317181	 .01816983	-.02451346	
ethird_trd0pct7	-.00221211	 .02472012	-.02914433	
ethird_trd0pct8	 .00032629	 .02996217	-.02930958	
ethird_trd0pct9	 .00262371	 .03498622	 -.0297388	
ethird_trd0pct10	 .00416264	 .03995908	-.03163381	
ethird_trd0pct11	  .0057647	 .04487754	-.03334813	
ethird_trd0pct12	 .00698961	 .04950584	-.03552662	
ethird_trd0pct13	 .00927988	 .05590885	 -.0373491	
ethird_trd0pct14	 .01018259	 .06132692	-.04096175	
ethird_trd0pct15	 .01108838	 .06673077	-.04455401	
ethird_trd0pct16	 .01171942	 .07197846	-.04853961	
ethird_trd3pct0	 .00575783	 .02598056	 -.0144649	
ethird_trd3pct1	-.00960105	 .02142569	-.04062779	
ethird_trd3pct2	-.02832718	 .00950591	-.06616027	
ethird_trd3pct3	-.04418504	  .0107029	-.09907298	
ethird_trd3pct4	-.06721946	 .01456852	-.14900743	
ethird_trd3pct5	-.05012691	 .01818465	-.11843847	
ethird_trd3pct6	-.03149269	 .05215581	 -.1151412	
ethird_trd3pct7	-.04643405	 .08821852	-.18108663	
ethird_trd3pct8	-.01778853	 .16146558	-.19704263	
ethird_trd3pct9	 .01940782	 .23682451	-.19800888	
ethird_trd3pct10	 .05566559	 .31365798	 -.2023268	
ethird_trd3pct11	  .0904523	 .38159158	-.20068698	
ethird_trd3pct12	 .12850341	 .45909001	 -.2020832	
ethird_trd3pct13	 .15984941	 .53042251	-.21072369	
ethird_trd3pct14	 .19897456	 .61313327	-.21518415	
ethird_trd3pct15	 .23412828	 .68512672	-.21687017	
ethird_trd3pct16	 .26027491	 .74973829	-.22918847	
