	estimate	upper	lower	
ethird_trd0pct0	-.00190782	 .00494374	-.00875937	
ethird_trd0pct1	-.00009353	 .01678284	-.01696991	
ethird_trd0pct2	 .00741048	 .02838667	-.01356571	
ethird_trd0pct3	 .00809767	 .03278057	-.01658522	
ethird_trd0pct4	 .01271048	 .04132161	-.01590066	
ethird_trd0pct5	 .01044064	 .05439012	-.03350883	
ethird_trd0pct6	 .00208258	 .06010681	-.05594165	
ethird_trd0pct7	-.00194951	 .06362818	-.06752721	
ethird_trd0pct8	 .02171208	 .12353082	-.08010667	
ethird_trd3pct0	  .0138524	 .05237471	-.02466992	
ethird_trd3pct1	-.05686332	 .01182438	-.12555102	
ethird_trd3pct2	-.05971496	 .01311669	-.13254662	
ethird_trd3pct3	-.00019427	 .12187018	-.12225873	
ethird_trd3pct4	-.13014444	 .08845439	-.34874327	
ethird_trd3pct5	-.18489275	 .11429868	-.48408418	
ethird_trd3pct6	-.24077833	 .07307919	-.55463585	
ethird_trd3pct7	-.22636345	 .10299048	-.55571739	
ethird_trd3pct8	-.31951515	 .09590666	-.73493697	
