	estimate	upper	lower	
ethird_trd0pct0	  .0099331	 .01885728	 .00100892	
ethird_trd0pct1	 .02641439	 .04977915	 .00304962	
ethird_trd0pct2	  .0240794	 .04867377	-.00051497	
ethird_trd0pct3	 .03749764	 .06542617	 .00956911	
ethird_trd0pct4	 .04103446	 .07540865	 .00666026	
ethird_trd0pct5	 .02997998	  .0835959	-.02363593	
ethird_trd0pct6	 .02971661	 .08658198	-.02714875	
ethird_trd0pct7	 .02957178	 .10440579	-.04526223	
ethird_trd0pct8	  .0796658	 .22126299	-.06193139	
ethird_trd3pct0	 .15000714	 .20622878	  .0937855	
ethird_trd3pct1	  .1247294	 .19760096	 .05185785	
ethird_trd3pct2	 .15059591	 .23571073	 .06548109	
ethird_trd3pct3	 .13727183	 .24311879	 .03142487	
ethird_trd3pct4	 .10795312	 .25224119	-.03633495	
ethird_trd3pct5	 .13635543	 .32402324	-.05131237	
ethird_trd3pct6	 .03217944	 .27109105	-.20673217	
ethird_trd3pct7	-.06054691	 .22727841	-.34837222	
ethird_trd3pct8	-.23570731	 .21761199	 -.6890266	
