	estimate	upper	lower	
ethird_trd0pct0	 .01817099	 .03020373	 .00613824	
ethird_trd0pct1	-.01749602	 .00719231	-.04218434	
ethird_trd0pct2	-.02977982	 .00504808	-.06460772	
ethird_trd0pct3	-.03133393	 .00800243	-.07067029	
ethird_trd0pct4	-.04763181	-.00642669	-.08883693	
ethird_trd0pct5	-.08666657	-.04293157	-.13040158	
ethird_trd0pct6	-.12300224	-.08035333	-.16565115	
ethird_trd0pct7	-.13009522	-.07955129	-.18063915	
ethird_trd0pct8	-.12716269	-.06232423	-.19200115	
ethird_trd3pct0	-.01291304	 .04276638	-.06859245	
ethird_trd3pct1	-.01618657	 .09890755	-.13128068	
ethird_trd3pct2	 .05895055	 .17176222	-.05386113	
ethird_trd3pct3	 .07667471	 .20830394	-.05495452	
ethird_trd3pct4	-.13520199	 .15170542	 -.4221094	
ethird_trd3pct5	-.19741005	 .17698296	-.57180305	
ethird_trd3pct6	-.29791864	 .08972745	-.68556473	
ethird_trd3pct7	-.26032813	 .10544822	-.62610448	
ethird_trd3pct8	-.29400134	 .05481952	-.64282221	
