	estimate	upper	lower	
ethird_trd0pct0	 -.0009941	 .00693804	-.00892624	
ethird_trd0pct1	 .00382022	 .01111074	-.00347031	
ethird_trd0pct2	 .00780035	 .01458809	 .00101261	
ethird_trd0pct3	 .01991153	 .02775775	 .01206531	
ethird_trd0pct4	 .02627393	 .03610668	 .01644118	
ethird_trd0pct5	 .03400597	 .05081574	  .0171962	
ethird_trd0pct6	  .0341269	  .0570691	 .01118469	
ethird_trd0pct7	  .0350428	 .05975092	 .01033468	
ethird_trd0pct8	 .03509263	 .06240948	 .00777579	
ethird_trd3pct0	 .03842678	 .06691094	 .00994262	
ethird_trd3pct1	 .05985254	 .10189192	 .01781316	
ethird_trd3pct2	 .07877245	 .14308295	 .01446196	
ethird_trd3pct3	  .0864751	 .18372929	-.01077908	
ethird_trd3pct4	 .11339516	  .2535586	-.02676829	
ethird_trd3pct5	 .17681023	 .28961888	 .06400157	
ethird_trd3pct6	 .19852213	 .30144877	 .09559549	
ethird_trd3pct7	 .23418831	 .35757447	 .11080215	
ethird_trd3pct8	 .26282248	 .42183963	 .10380534	
