	estimate	upper	lower	
ethird_trd0pct0	 .03241909	 .05692375	 .00791444	
ethird_trd0pct1	 .01566238	 .06124044	-.02991568	
ethird_trd0pct2	-.07615956	 .01000571	-.16232483	
ethird_trd0pct3	-.06745401	 .02230171	-.15720973	
ethird_trd0pct4	-.12122249	-.02349017	-.21895482	
ethird_trd0pct5	-.19343994	-.07979325	-.30708662	
ethird_trd0pct6	-.20890914	-.09297331	-.32484497	
ethird_trd0pct7	-.21795029	-.08830262	-.34759797	
ethird_trd0pct8	-.21152469	-.06904196	-.35400742	
ethird_trd3pct0	 .20650386	 .30540372	 .10760399	
ethird_trd3pct1	 .26490017	 .42648858	 .10331177	
ethird_trd3pct2	 .33513415	 .50548818	 .16478012	
ethird_trd3pct3	  .3176099	 .50107367	 .13414612	
ethird_trd3pct4	 .22210457	 .39242881	 .05178032	
ethird_trd3pct5	 .07810602	 .32202261	-.16581057	
ethird_trd3pct6	-.13161071	 .13035322	-.39357463	
ethird_trd3pct7	-.16843133	 .18505348	-.52191614	
ethird_trd3pct8	-.19146272	 .23970666	 -.6226321	
