	estimate	upper	lower	
ebell_trd0pct0	 .00057732	 .00151967	-.00036502	
ebell_trd0pct1	 .00026716	 .00174825	-.00121393	
ebell_trd0pct2	-.00028671	 .00169433	-.00226775	
ebell_trd0pct3	-.00123099	  .0013279	-.00378988	
ebell_trd0pct4	-.00261406	 .00111352	-.00634164	
ebell_trd0pct5	 -.0014462	 .00133292	-.00422533	
ebell_trd0pct6	-.00081064	 .00158355	-.00320483	
ebell_trd0pct7	-.00069634	 .00183579	-.00322847	
ebell_trd0pct8	 .00089201	  .0022133	-.00042928	
ebell_trd3pct0	-.24012276	 .28651664	-.76676216	
ebell_trd3pct1	-.26064847	 .05748162	-.57877856	
ebell_trd3pct2	-.47230731	-.04276992	-.90184471	
ebell_trd3pct3	-.40884236	-.02822612	 -.7894586	
ebell_trd3pct4	 .17380111	 .85121907	-.50361684	
ebell_trd3pct5	 .10691558	 .75223133	-.53840017	
ebell_trd3pct6	 .04577076	 .70203924	-.61049772	
ebell_trd3pct7	 1.4436184	 3.7922472	-.90501039	
ebell_trd3pct8	-.17306037	  .3303544	-.67647514	
