	estimate	upper	lower	
esite0	-.88819952	-.29724241	-1.4791566	
esite1	-.46285954	 .54485107	-1.4705701	
esite2	 .90220869	 2.2643575	-.45994013	
esite3	 .97944336	 2.9997116	-1.0408249	
esite4	-.03278177	  1.675922	-1.7414855	
esite5	-1.9502177	-1.1833099	-2.7171255	
esite6	-2.1035637	-1.5558393	-2.6512881	
esite7	 -2.638541	 -1.950812	  -3.32627	
esite8	-2.6813632	-1.8453033	-3.5174232	
ebelligerent0	-.03261621	 .10757821	-.17281064	
ebelligerent1	-.14450051	 .05351809	-.34251912	
ebelligerent2	-.02085699	 .18637545	-.22808942	
ebelligerent3	-.25657297	 -.0839333	-.42921264	
ebelligerent4	-.43787232	-.18188673	-.69385791	
ebelligerent5	-.07532287	 .13830779	-.28895352	
ebelligerent6	 .04072879	 .36899616	-.28753858	
ebelligerent7	-.07826275	 .52256625	-.67909176	
ebelligerent8	-.11970798	 .41406237	-.65347832	
ethird0	-.15041708	 .04891255	-.34974672	
ethird1	-.24789152	 .04764835	 -.5434314	
ethird2	-.26703798	 .11841046	-.65248642	
ethird3	-.50689678	-.05382743	-.95996613	
ethird4	-.98226271	-.50324843	 -1.461277	
ethird5	-.78452849	-.25630119	-1.3127558	
ethird6	-.61495493	-.05492984	  -1.17498	
ethird7	-.93414143	-.27526644	-1.5930164	
ethird8	-.90123871	 -.3477412	-1.4547362	
