	estimate	upper	lower	
esite0	-.48628244	 .35288509	  -1.32545	
esite1	 .05402469	 1.5128399	-1.4047905	
esite2	 1.2933257	 2.9334246	-.34677316	
esite3	 1.4686348	 3.4201907	-.48292104	
esite4	 .52992668	 1.6300387	-.57018537	
esite5	-.95890737	-.51883381	-1.3989809	
esite6	-.92021877	-.08173382	-1.7587037	
esite7	-.74245727	-.14176233	-1.3431522	
esite8	-.67605077	-.18123732	-1.1708642	
ebelligerent0	  .1079318	  .2975236	   -.08166	
ebelligerent1	 .06636415	 .24908453	-.11635622	
ebelligerent2	 .24470459	 .39761156	 .09179762	
ebelligerent3	 .09821837	 .33287624	-.13643951	
ebelligerent4	 .06964606	 .31577948	-.17648736	
ebelligerent5	 .64154827	 .93779796	 .34529858	
ebelligerent6	 .59730384	 .86919003	 .32541765	
ebelligerent7	 .78730262	 1.1980992	 .37650609	
ebelligerent8	 .86253936	 1.2907476	 .43433114	
ethird0	-.07046069	 .07978659	-.22070798	
ethird1	-.11962407	 .10232894	-.34157708	
ethird2	-.08483892	 .14228847	-.31196631	
ethird3	-.31107415	 -.0899812	-.53216711	
ethird4	-.55421701	-.14039078	-.96804324	
ethird5	 .14109004	 .65492086	-.37274078	
ethird6	 .19616466	 .63467617	-.24234685	
ethird7	 .19303107	 .60088653	 -.2148244	
ethird8	 .36808656	 .69568313	    .04049	
