	estimate	upper	lower	
ethird_trd0pct0	-.01506648	 .01151446	-.04164742	
ethird_trd0pct1	-.00846543	 .05006444	 -.0669953	
ethird_trd0pct2	 .01514658	  .0895631	-.05926994	
ethird_trd0pct3	 .00131224	 .07657023	-.07394575	
ethird_trd0pct4	 .00164724	 .07778681	-.07449233	
ethird_trd0pct5	 .00050987	 .06078071	-.05976098	
ethird_trd0pct6	-.00737359	 .03955305	-.05430024	
ethird_trd0pct7	-.01379226	 .03867086	-.06625538	
ethird_trd0pct8	-.01835098	 .02676416	-.06346611	
ethird_trd3pct0	-.07589654	 .14839223	 -.3001853	
ethird_trd3pct1	-.06543268	  .3870056	-.51787096	
ethird_trd3pct2	-.80359291	-.40277917	-1.2044066	
ethird_trd3pct3	-1.2812987	 -.6454118	-1.9171855	
ethird_trd3pct4	-1.3872546	-.88444078	-1.8900685	
ethird_trd3pct5	-1.2022131	-.87275273	-1.5316735	
ethird_trd3pct6	-1.5558759	 -1.196524	-1.9152278	
ethird_trd3pct7	-2.0839087	-1.7426886	-2.4251287	
ethird_trd3pct8	-2.0026045	-1.5854252	-2.4197839	
