	estimate	upper	lower	
ethird_trd0pct0	-.03409591	-.00939402	-.05879779	
ethird_trd0pct1	-.04671325	 .00494859	-.09837508	
ethird_trd0pct2	-.02370625	 .05114741	-.09855991	
ethird_trd0pct3	-.02281495	 .07411453	-.11974444	
ethird_trd0pct4	-.02786904	 .06269789	-.11843597	
ethird_trd0pct5	-.00377027	 .07302851	-.08056905	
ethird_trd0pct6	-.00549986	 .05597274	-.06697245	
ethird_trd0pct7	-.01143515	 .05050581	-.07337612	
ethird_trd0pct8	-.01775794	 .03284787	-.06836375	
ethird_trd3pct0	-.30090585	-.17941341	-.42239828	
ethird_trd3pct1	-.50556601	-.31401878	-.69711323	
ethird_trd3pct2	-.88332993	-.56464244	-1.2020174	
ethird_trd3pct3	-1.4564826	-.98408439	-1.9288808	
ethird_trd3pct4	-1.6443759	-1.2664091	-2.0223428	
ethird_trd3pct5	-1.0549273	 -.7270032	-1.3828515	
ethird_trd3pct6	 -1.041384	-.63583363	-1.4469343	
ethird_trd3pct7	-1.7523735	-1.4352693	-2.0694777	
ethird_trd3pct8	-1.7308351	-1.3413872	 -2.120283	
