	estimate	upper	lower	
ethird_trd0pct0	 .02489088	  .0366837	 .01309806	
ethird_trd0pct1	 .02446749	 .05057621	-.00164124	
ethird_trd0pct2	  .0536361	 .07239141	 .03488079	
ethird_trd0pct3	 .04085916	 .05774165	 .02397668	
ethird_trd0pct4	 .03930892	  .0755496	 .00306823	
ethird_trd0pct5	 .06546175	 .11657903	 .01434447	
ethird_trd0pct6	 .07525944	  .1181911	 .03232777	
ethird_trd0pct7	 .10014851	 .14177465	 .05852237	
ethird_trd0pct8	 .08607378	 .14852158	 .02362598	
ethird_trd3pct0	-.18025792	-.05100392	-.30951191	
ethird_trd3pct1	-.43959648	-.25762761	-.62156536	
ethird_trd3pct2	-.98594885	-.73095351	-1.2409442	
ethird_trd3pct3	-1.6490341	-1.2968379	-2.0012304	
ethird_trd3pct4	 -1.818048	-1.5743901	-2.0617059	
ethird_trd3pct5	-1.0123272	-.76528266	-1.2593717	
ethird_trd3pct6	-.96515378	 -.7038394	-1.2264682	
ethird_trd3pct7	-1.3393189	-1.0230216	-1.6556162	
ethird_trd3pct8	-1.3471885	 -.9808727	-1.7135043	
